;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
145;480;SIDUS SIDUS;$0.009008;+0.03%;+5.83%;-3.57%;$84.29M $84,291,355;$1,320,027 146,526,177 SIDUS;9,356,868,845 SIDUS
146;484;Dimitra DMTR;$0.1675;-0.13%;+8.47%;-5.80%;$81.42M $81,418,218;$1,243,547 7,433,106 DMTR;486,503,182 DMTR
147;507;Artificial Liquid Intelligence ALI;$0.0203;+0.46%;-1.34%;+4.58%;$72.57M $72,572,764;$1,826,936 90,018,232 ALI;3,588,163,660 ALI
148;515;VAIOT VAI;$0.2181;-0.43%;-1.23%;-14.31%;$70.63M $70,626,527;$1,386,739 6,354,265 VAI;322,295,875 VAI
149;527;LimeWire LMWR;$1.10;+0.53%;+6.75%;-1.38%;$68.42M $68,424,458;$5,068,575 4,609,301 LMWR;62,352,281 LMWR
150;532;Cortex CTXC;$0.3072;+0.10%;+2.92%;-12.36%;$67.53M $67,533,052;$5,161,579 16,811,159 CTXC;220,227,761 CTXC
151;550;Agoras: Currency of Tau AGRS;$3.50;+0.11%;-3.62%;-18.50%;$62.95M $62,947,198;$570,555 163,006 AGRS;18,000,000 AGRS
152;557;Verasity VRA;$0.006089;+0.29%;+6.92%;-0.33%;$60.69M $60,691,914;$10,995,046 1,808,091,253 VRA;10,001,381,139 VRA
153;560;Gaimin GMRX;$0.009069;+0.24%;+5.32%;-7.20%;$60.12M $60,123,627;$1,399,952 154,452,165 GMRX;6,634,129,332 GMRX
154;563;Numbers Protocol NUM;$0.09825;+0.28%;+1.75%;-16.95%;$59.86M $59,859,089;$1,211,682 12,329,247 NUM;608,368,916 NUM
155;565;Streamr DATA;$0.05783;+0.52%;+3.45%;-14.73%;$59.41M $59,409,671;$4,089,415 70,793,682 DATA;1,028,693,853 DATA
156;577;PlatON LAT;$0.01069;-0.50%;-8.54%;-32.03%;$57.07M $57,070,208;$5,676,714 530,293,175 LAT;5,343,139,138 LAT
157;579;DIA DIA;$0.5168;+0.25%;+9.38%;-8.86%;$57.01M $57,014,755;$9,748,495 18,898,868 DIA;110,617,604 DIA
158;588;PaLM AI PALM;$0.7223;+7.14%;+5.79%;-7.08%;$56.59M $56,588,613;$2,178,252 3,157,475 PALM;79,000,000 PALM
159;593;SingularityDAO SDAO;$0.6415;+1.87%;-0.43%;-10.39%;$52.85M $52,854,612;$1,124,948 1,762,227 SDAO;82,733,204 SDAO
160;598;Measurable Data Token MDT;$0.07684;-0.29%;+4.22%;-13.71%;$51.95M $51,949,388;$6,461,929 84,194,370 MDT;676,157,013 MDT
161;640;Zero1 Labs DEAI;$0.4958;-0.25%;-5.23%;-24.18%;$45.32M $45,324,954;$3,287,936 6,630,716 DEAI;91,221,244 DEAI
162;645;Cere Network CERE;$0.006309;+1.16%;+5.07%;-6.97%;$43.86M $43,857,771;$900,177 142,529,218 CERE;6,939,923,952 CERE
163;653;Sentinel Protocol UPP;$0.08551;-1.09%;+3.97%;-13.98%;$42.56M $42,560,467;$1,344,355 15,722,663 UPP;497,834,800 UPP
164;665;Botto BOTTO;$0.8953;+0.50%;+1.54%;-12.99%;$41.03M $41,032,974;$314,719 351,560 BOTTO;45,739,296 BOTTO
165;666;iMe Lab LIME;$0.08605;+0.33%;-8.14%;+0.51%;$40.68M $40,678,897;$5,671,983 65,839,243 LIME;472,038,858 LIME
166;668;Hacken Token HAI;$0.06282;-0.69%;+0.99%;-13.17%;$40.53M $40,527,661;$248,161 3,948,001 HAI;645,253,973 HAI
167;672;AIT Protocol AIT;$0.3545;+1.12%;-15.51%;-12.36%;$39.96M $39,963,481;$1,954,090 5,520,286 AIT;111,950,233 AIT
168;681;Only1 LIKE;$0.1414;+6.64%;+36.89%;-6.37%;$38.61M $38,607,887;$3,703,471 26,251,359 LIKE;273,286,650 LIKE
169;685;SelfKey KEY;$0.007183;+0.01%;+5.08%;-13.86%;$38.07M $38,065,138;$9,007,255 1,254,252,383 KEY;5,304,969,446 KEY
170;690;Vectorspace AI VXV;$0.7437;-0.51%;+4.90%;-12.48%;$37.12M $37,123,326;$231,933 311,867 VXV;49,917,054 VXV
171;692;Graphlinq Chain GLQ;$0.1086;-0.37%;+4.63%;-1.51%;$37.01M $37,014,567;$1,750,485 16,126,203 GLQ;339,999,895 GLQ
172;694;Aleph.im ALEPH;$0.1491;+0.95%;-4.81%;-29.03%;$36.76M $36,757,960;$1,290,177 8,670,265 ALEPH;247,220,482 ALEPH
173;700;PARSIQ PRQ;$0.137;+2.92%;+3.24%;-24.31%;$35.64M $35,640,560;$1,650,168 12,044,403 PRQ;260,256,872 PRQ
174;702;Turbo TURBO;$0.0005556;-0.00%;+0.08%;-15.01%;$35.33M $35,332,538;$8,857,419 15,935,279,311 TURBO;63,674,701,174 TURBO
